=== KSP CRIME DATABASE LOOKUP ===
=== Court (50 records) ===

  ROWID: 47995000000332331, CourtID: 1, CourtName: Principal District and Sessions Court, Bengaluru, DistrictID: 47995000000332123, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332369, CourtID: 39, CourtName: District and Sessions Court, Chitradurga, DistrictID: 47995000000332128, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332370, CourtID: 40, CourtName: District and Sessions Court, Bagalkot, DistrictID: 47995000000332119, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332371, CourtID: 41, CourtName: District and Sessions Court, Gadag, DistrictID: 47995000000332132, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332372, CourtID: 42, CourtName: Chief Judicial Magistrate Court, Bagalkot, DistrictID: 47995000000332119, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332373, CourtID: 43, CourtName: Chief Judicial Magistrate Court, Chitradurga, DistrictID: 47995000000332128, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332374, CourtID: 44, CourtName: Chief Judicial Magistrate Court, Raichur, DistrictID: 47995000000332141, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332375, CourtID: 45, CourtName: Chief Judicial Magistrate Court, Bidar, DistrictID: 47995000000332124, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332376, CourtID: 46, CourtName: Chief Judicial Magistrate Court, Vijayapura, DistrictID: 47995000000332148, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332377, CourtID: 47, CourtName: Family Court, Hubballi, DistrictID: 47995000000332131, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332378, CourtID: 48, CourtName: Family Court, Mangaluru, DistrictID: 47995000000332129, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332379, CourtID: 49, CourtName: Fast Track Court, Mysuru, DistrictID: 47995000000332140, StateID: 47995000000333047, Active: true
  ROWID: 47995000000332380, CourtID: 50, CourtName: Fast Track Court, Belagavi, DistrictID: 47995000000332120, StateID: 47995000000333047, Active: true
